ControlStation,magnitude,year,month,day,date,Measurement,meanValue,maxValue,minValue,unit
102,Temperature,2019,1,5,2019-01-05,28079102_83_98_19_01_05,20.541666666666668,31.0,12.0,ºC
104,Temperature,2019,1,5,2019-01-05,28079104_83_98_19_01_05,19.666666666666668,29.0,13.0,ºC
36,Temperature,2019,1,5,2019-01-05,28079036_83_98_19_01_05,36.708333333333336,82.0,16.0,ºC
8,Temperature,2019,1,5,2019-01-05,28079008_83_98_19_01_05,54.125,93.0,22.0,ºC
107,Temperature,2019,1,5,2019-01-05,28079107_83_98_19_01_05,0.4625000000000001,0.8,0.1,ºC
58,Temperature,2019,1,5,2019-01-05,28079058_83_98_19_01_05,22.916666666666668,41.0,12.0,ºC
56,Precipitation,2019,1,5,2019-01-05,28079056_89_98_19_01_05,192.45833333333334,433.0,73.0,l/m^2
110,Temperature,2019,1,5,2019-01-05,28079110_83_98_19_01_05,0.24000000000000002,0.35,0.16,ºC
56,Temperature,2019,1,5,2019-01-05,28079056_83_98_19_01_05,73.45833333333333,143.0,35.0,ºC
112,Temperature,2019,1,5,2019-01-05,28079112_83_98_19_01_05,90.20833333333333,172.0,15.0,ºC
103,Precipitation,2019,1,5,2019-01-05,28079103_89_98_19_01_05,184.08333333333334,590.0,37.0,l/m^2
38,Temperature,2019,1,5,2019-01-05,28079038_83_98_19_01_05,8.273750000000001,36.03,1.87,ºC
111,Temperature,2019,1,5,2019-01-05,28079111_83_98_19_01_05,89.70833333333333,139.0,50.0,ºC
18,Temperature,2019,1,5,2019-01-05,28079018_83_98_19_01_05,36.875,66.0,17.0,ºC
4,Temperature,2019,1,5,2019-01-05,28079004_83_98_19_01_05,8.131666666666668,37.32,1.28,ºC
102,Temperature,2019,1,6,2019-01-06,28079102_83_98_19_01_06,249.08333333333334,681.0,69.0,ºC
4,Temperature,2019,1,6,2019-01-06,28079004_83_98_19_01_06,82.25,213.0,36.0,ºC
103,Precipitation,2019,1,6,2019-01-06,28079103_89_98_19_01_06,258.0416666666667,607.0,58.0,l/m^2
8,Temperature,2019,1,6,2019-01-06,28079008_83_98_19_01_06,0.9625000000000002,2.7,0.2,ºC
39,Precipitation,2019,1,6,2019-01-06,28079039_89_98_19_01_06,0.5875,1.8,0.3,l/m^2
