Número;Código Ayto;Centro;Dirección;Coordenada-X;Coordenada-Y;Latitud;Longitud;Superficie (m2);Uso del edificio;Adscripción;Distrito;Potencia KWp;Empresa instaladora;Puesta en servicio
11;;VIVERO MUNICIPAL DE CASA DE CAMPO;Pº Azul s/n. Parque de la Casa de Campo;438584;4474694;40.420606;-3.723958;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;5;;
12;;VIVERO MUNICIPAL DE MIGAS CALIENTES;"Km. 22. M-30 (frente a palacio Moncloa)
 M-30 . Km. 21.600, calzada sur.";437394;4476508;40.43686257147040;-3.7381715230490400;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;5;;
13;;ROSALEDA DEL PARQUE DEL OESTE;"c/ de la Rosaleda s/n. Rosaleda del Parque del Oeste
 (junto al teleférico)";438775;4475363;40.426646;-3.721771;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;5;;
14;2520;ALMACÉN DE LA VILLA;C/ AHUMAOS, 27 28052 MADRID;449323;4471841;40.395628;-3.597144;;almacén; AG Obras y Equipamientos ; Vicálvaro ;17,5;SAVEFFI;27/03/2020
15;1392;UID VILLA DE VALLECAS;AV/ REAL DE ARGANDA, 64   ;447969;4470229;40.379145542145500;-3-6142474191270000;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Villa de Vallecas ;20;PECSA;11/06/2018
16;1704;BASE 14 SAMUR;C/ CASUARINA, 10;435024;4470233;40.380148;-3.765466;;sanitario; AG de Portavoz, Seguridad y Emergencias ; Latina ;6;AURA;14/02/2018
17;1904;CENTRO PROTECCIÓN ANIMAL;CARRETERA BARRIO DE LA FORTUNA, KM 10. 28054;433934;4468399;40.363546309643300;-3.778110067286680;;sanitario; MADRID SALUD ; Latina ;9,88;POWEN;21/06/2018
18;1372;PARQUE BOMBEROS Nº 6;C/ SAN BERNARDO, 68 ;440066;4475362;40.42673583114150;-3.7065496222694200;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Centro ;5;AURA;14/02/2020
19;;PARQUE DE BOMBEROS Nº 7;Av Hellin, 52;447796;4475482;40.42832883917410;-3.6154373664644300;;seguridad; AG de Portavoz, Seguridad y Emergencias ; San Blas Canillejas ;35;FERROVIAL;13/02/2018
20;;PARQUE DE BOMBEROS Nº 11;C/ Mesena, 146;443623;4480593;40.47409889540650;-3.665083966588480;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Hortaleza ;25;FERROVIAL;01/10/2019
21;2021;CSS JOSÉ VILLARREAL (ARGANZUELA);PLAZA JOSE VILLARREAL, 2 ;440953;4471932;40.39401854488280;-3.697052144961610;;social; JMD Arganzuela ; Arganzuela ;17;;29/09/2008
22;2440;EI LA MELONERA ;C/ EROS, 2;442243;4471700;40.39390298324830;-3.680551491708350;;educativo; JMD Arganzuela ; Arganzuela ;7,5;IMESAPI;07/05/2019
23;1541;CDM MARQUÉS DE SAMARANCH;Pº IMPERIAL 20;439131;4473248;40.40761501410640;-3.7173807221939100; 11.523   ;deportivo; JMD Arganzuela ; Arganzuela ;90;EULEN;12/02/2019
24;1119;CDI ARGANZUELA;C/ CANARIAS, 17 Y PALOS DE LA FRONTERA, 16;440979;4472617;40.40207279862860;-3.6955325387824000; 12.470   ;mixto; JMD Arganzuela ; Arganzuela ;90;EULEN;10/03/2019
25;1916;CDM ARGANZUELA LA FUNDI;C/ ALICANTE , 14;441329;4471761;40.39437715885100;-3.691341060146100;;deportivo; JMD Arganzuela ; Arganzuela ;10;;28/02/2020
26;853;CC Y BIBLIOTECA GLORIA FUERTES;AV/ LOGROÑO 181;449666;4479054;40.460622835379600;-3.5936877657335900;;cultural; JMD Barajas ; Barajas ;8,2;DRAGADOS;14/12/2019
27;854;CMM ACUARIO;C/ ACUARIO, 27;450862;4480620;40.474801968086500;-3.5796914517468600;;social; JMD Barajas ; Barajas ;11,7;EULEN;01/04/2019
