Numero,Distrito,Barrio,Calle,Direccion,N_Finca,Numero_de_Plazas,Ciudad,Longitud,Point,Latitud
144,SALAMANCA,LISTA,CALLE_DE_JUAN_BRAVO,"CALLE DE JUAN BRAVO, 50",50,24,Madrid,-3.6754628,POINT(-3.6754628  40.4323192),40.4323192
145,SALAMANCA,LISTA,CALLE_DE_JOSE_ORTEGA_Y_GASSET,"CALLE DE JOSE ORTEGA Y GASSET, 87",87,24,Madrid,-3.671401,POINT(-3.671401  40.4297717),40.4297717
146,CHAMARTIN,EL_VISO,CALLE_DE_MARIA_FRANCISCA,"CALLE DE MARIA FRANCISCA, 1",1,18,Madrid,-3.67879,POINT(-3.67879  40.4442406),40.4442406
147,CHAMARTIN,EL_VISO,AVENIDA_DEL_DOCTOR_ARCE,"AVENIDA DEL DOCTOR ARCE, 45",45,24,Madrid,-3.6795811,POINT(-3.6795811  40.4483353),40.4483353
148,CHAMARTIN,EL_VISO,CALLE_DE_SERRANO,"CALLE DE SERRANO, 210",210,24,Madrid,-3.6816993,POINT(-3.6816993  40.4510203),40.4510203
149,CHAMARTIN,EL_VISO,PASEO_DE_LA_HABANA,"PASEO DE LA HABANA, 42",42,24,Madrid,-3.6878512,POINT(-3.6878512  40.4498448),40.4498448
150,CHAMARTIN,EL_VISO,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, S/N",S/N,24,Madrid,-3.690541,POINT(-3.690541  40.4491125),40.4491125
151,TETUAN,CUATRO_CAMINOS,CALLE_DE_ORENSE,"CALLE DE ORENSE, 10",10,24,Madrid,-3.6952023,POINT(-3.6952023  40.4488617),40.4488617
152,TETUAN,CUATRO_CAMINOS,AVENIDA_DEL_GENERAL_PERON,"AVENIDA DEL GENERAL PERON, 4",4,24,Madrid,-3.6989497,POINT(-3.6989497  40.4527163),40.4527163
153,TETUAN,CUATRO_CAMINOS,AVENIDA_DEL_GENERAL_PERON,"AVENIDA DEL GENERAL PERON, 36",36,24,Madrid,-3.6930894,POINT(-3.6930894  40.45235),40.45235
154,TETUAN,CUATRO_CAMINOS,CALLE_DE_ORENSE,"CALLE DE ORENSE, 36",36,24,Madrid,-3.6946736,POINT(-3.6946736  40.4547769),40.4547769
155,TETUAN,CUATRO_CAMINOS,CALLE_DE_SAN_GERMAN,"CALLE DE SAN GERMÁN, 55",55,24,Madrid,-3.700864,POINT(-3.700864  40.4572863),40.4572863
156,TETUAN,CASTILLEJOS,CALLE_DE_SOR_ANGELA_DE_LA_CRUZ,"CALLE DE SOR ANGELA DE LA CRUZ, 2",2,24,Madrid,-3.6913229,POINT(-3.6913229  40.4592406),40.4592406
157,CHAMARTIN,NUEVA_ESPANA,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, S/N",S/N,24,Madrid,-3.6893305,POINT(-3.6893305  40.459282),40.459282
158,CHAMARTIN,HISPANOAMERICA,AVENIDA_DE_ALBERTO_ALCOCER,"AVENIDA DE ALBERTO ALCOCER, 22 A",22 A,24,Madrid,-3.6847049,POINT(-3.6847049  40.45862),40.45862
159,CHAMARTIN,HISPANOAMERICA,PASEO_DE_LA_HABANA,"PASEO DE LA HABANA, 63",63,24,Madrid,-3.6837348,POINT(-3.6837348  40.4542549),40.4542549
160,CHAMARTIN,HISPANOAMERICA,CALLE_DE_COLOMBIA,"CALLE DE COLOMBIA, 7",7,24,Madrid,-3.6766176,POINT(-3.6766176  40.4571995),40.4571995
161a,MONCLOA-ARAVACA,CASA_DE_CAMPO,PASEO_DE_LA_FLORIDA,"PASEO DE LA FLORIDA, 8",8,24,Madrid,-3.7220624,POINT(-3.7220624  40.4221372),40.4221372
161b,MONCLOA-ARAVACA,CASA_DE_CAMPO,PASEO_DE_LA_FLORIDA,"PASEO DE LA FLORIDA, 6",6,3,Madrid,-3.7219659,POINT(-3.7219659  40.4220566),40.4220566
162,ARGANZUELA,ACACIAS,PASEO_DE_LOS_OLMOS,"PASEO DE LOS OLMOS, 28",28,24,Madrid,-3.7107559,POINT(-3.7107559  40.4035176),40.4035176
163,ARGANZUELA,ACACIAS,PASEO_DE_LA_ESPERANZA,"PASEO DE LA ESPERANZA, 1",1,21,Madrid,-3.7064372,POINT(-3.7064372  40.4036349),40.4036349
164,ARGANZUELA,DELICIAS,PASEO_DE_LAS_DELICIAS,"PASEO DE LAS DELICIAS, 94",94,24,Madrid,-3.6944851,POINT(-3.6944851  40.3971366),40.3971366
165,ARGANZUELA,CHOPERA,PASEO_DE_LA_CHOPERA,"PASEO DE LA CHOPERA, 49",49,27,Madrid,-3.6976134,POINT(-3.6976134  40.3928841),40.3928841
166,CENTRO,PALACIO,CALLE_DE_SEGOVIA,"CALLE DE SEGOVIA, 21",21,24,Madrid,-3.7133382,POINT(-3.7133382  40.4139396),40.4139396
167,ARGANZUELA,IMPERIAL,CALLE_DE_SEGOVIA,"CALLE DE SEGOVIA, 47 A",47 A,24,Madrid,-3.7176456,POINT(-3.7176456  40.4137331),40.4137331
168,ARGANZUELA,PALOS_DE_MOGUER,PASEO_DE_SANTA_MARIA_DE_LA_CABEZA,"PASEO DE SANTA MARIA DE LA CABEZA, 32",32,24,Madrid,-3.6959159,POINT(-3.6959159  40.4045828),40.4045828
169,ARGANZUELA,ACACIAS,CALLE_DE_TOLEDO,"CALLE DE TOLEDO, 181",181,24,Madrid,-3.713846,POINT(-3.713846  40.401578),40.401578
170,ARGANZUELA,ACACIAS,PASEO_DE_LA_ESPERANZA,"PASEO DE LA ESPERANZA, 21",21,24,Madrid,-3.704403,POINT(-3.704403  40.4011039),40.4011039
171,ARGANZUELA,DELICIAS,CALLE_DE_EMBAJADORES,"CALLE DE EMBAJADORES, 97",97,24,Madrid,-3.6984459,POINT(-3.6984459  40.3997626),40.3997626
172,ARGANZUELA,PALOS_DE_MOGUER,CALLE_DE_BUSTAMANTE,"CALLE DE BUSTAMANTE, 1",1,24,Madrid,-3.6935448,POINT(-3.6935448  40.4008683),40.4008683
173,ARGANZUELA,ACACIAS,PASEO_DE_LA_ESPERANZA,"PASEO DE LA ESPERANZA, 59",59,24,Madrid,-3.7023615,POINT(-3.7023615  40.3981757),40.3981757
174,ARGANZUELA,ACACIAS,PASEO_DE_LAS_YESERIAS,"PASEO DE LAS YESERIAS, 8",8,27,Madrid,-3.7063771,POINT(-3.7063771  40.397417),40.397417
175,ARGANZUELA,CHOPERA,CALLE_DE_JAIME_EL_CONQUISTADOR,"CALLE DE JAIME EL CONQUISTADOR, 30",30,21,Madrid,-3.6983033,POINT(-3.6983033  40.3962687),40.3962687
176,ARGANZUELA,DELICIAS,CALLE_DE_ALICANTE,"CALLE DE ALICANTE, 3",3,24,Madrid,-3.6936302,POINT(-3.6936302  40.3942411),40.3942411
