Número,Distrito,Barrio ,Calle,Direccion,Nº Finca,Número de Plazas,Longitud,POINT,Latitud
223, LATINA,CÁRMENES, PASEO DE LA ERMITA DEL SANTO," PASEO DE LA ERMITA DEL SANTO, 48",48,24,-3.7245226,-3.7245226  40.4064341,40.4064341
224, LATINA,PUERTA DEL ÁNGEL, CALLE DE CARAMUEL," CALLE DE CARAMUEL, 52",52,24,-3.7288262,-3.7288262  40.408882,40.408882
225, PUENTE DE VALLECAS,NUMANCIA, CALLE DE LA SIERRA TOLEDANA," CALLE DE LA SIERRA TOLEDANA, 33",33,24,-3.6601933,-3.6601933  40.4026388,40.4026388
226, PUENTE DE VALLECAS,NUMANCIA, CAMINO DE VALDERRIBAS," CAMINO DE VALDERRIBAS, 94",94,24,-3.6606789,-3.6606789  40.3991986,40.3991986
227, PUENTE DE VALLECAS,SAN DIEGO, CALLE DEL ARROYO DEL OLIVAR," CALLE DEL ARROYO DEL OLIVAR, 4",4,24,-3.6661421,-3.6661421  40.3940355,40.3940355
228, CARABANCHEL,COMILLA, CALLE DE SAN DELFIN," CALLE DE SAN DELFIN, 9",9,24,-3.7080437,-3.7080437  40.3943842,40.3943842
229, CIUDAD LINEAL,CONCEPCIÓN, CALLE DE JOSE DEL HIERRO," CALLE DE JOSE DEL HIERRO, 5",5,24,-3.6486507,-3.6486507  40.4370782,40.4370782
230, CIUDAD LINEAL,SAN PASCUAL, CALLE DE CARLOTA O'NEILL," CALLE DE CARLOTA O'NEILL, 32",32,24,-3.6491034,-3.6491034  40.4436986,40.4436986
231, CIUDAD LINEAL,SAN PASCUAL, CALLE DE LOS DERECHOS HUMANOS," CALLE DE LOS DERECHOS HUMANOS, 14",14,24,-3.6558172,-3.6558172  40.439748,40.439748
232, CIUDAD LINEAL,VENTAS, CALLE DE JOSE MARIA PEREDA," CALLE DE JOSE MARIA PEREDA, 1",1,24,-3.6485701,-3.6485701  40.4328362,40.4328362
233, CIUDAD LINEAL,VENTAS, AVENIDA DEL MARQUES DE CORBERA," AVENIDA DEL MARQUES DE CORBERA, 12",12,24,-3.655633,-3.655633  40.4229144,40.4229144
234, CIUDAD LINEAL,VENTAS, AVENIDA DEL MARQUES DE CORBERA," AVENIDA DEL MARQUES DE CORBERA, 52",52,24,-3.651125,-3.651125  40.426163,40.426163
235, ARGANZUELA,LEGAZPI, CALLE DEL SODIO," CALLE DEL SODIO, 1 B",1 B,24,-3.6911834,-3.6911834  40.3889853,40.3889853
236, ARGANZUELA,IMPERIAL, PASEO IMPERIAL," PASEO IMPERIAL, 20",20,24,-3.7171449,-3.7171449  40.4074236,40.4074236
237, TETUÁN,BELLAS VISTAS, CALLE DE FRANCISCO BALSEIRO," CALLE DE FRANCISCO BALSEIRO, S/N",S/N,24,-3.7105146,-3.7105146  40.451395,40.451395
238, TETUÁN,CUATRO CAMINOS, CALLE DE SAN GERMÁN," CALLE DE SAN GERMÁN, 5",5,24,-3.6932474,-3.6932474  40.4562183,40.4562183
239, TETUÁN,BERRUGUETE, CALLE DE FRANCOS RODRIGUEZ," CALLE DE FRANCOS RODRIGUEZ, 62",62,24,-3.7079276,-3.7079276  40.4567345,40.4567345
240, SALAMANCA,GUINDALERA, AVENIDA DE BRASILIA," AVENIDA DE BRASILIA, 9",9,24,-3.6609886,-3.6609886  40.4367138,40.4367138
241, SALAMANCA,GUINDALERA, AVENIDA DE CAMILO JOSE CELA," AVENIDA DE CAMILO JOSE CELA, 23",23,24,-3.6677796,-3.6677796  40.4377568,40.4377568
242, SALAMANCA,GUINDALERA, AVENIDA DE BRUSELAS," AVENIDA DE BRUSELAS, 56",56,24,-3.6629058,-3.6629058  40.4394662,40.4394662
243, SALAMANCA,GUINDALERA, CALLE DE CARTAGENA," CALLE DE CARTAGENA, 38",38,24,-3.6700894,-3.6700894  40.4351648,40.4351648
244, CHAMBERÍ,VALLEHERMOSO, CALLE DE ISAAC PERAL," CALLE DE ISAAC PERAL, 44",44,24,-3.7175468,-3.7175468  40.4398513,40.4398513
245, CHAMBERÍ,ARAPILES, CALLE DE GALILEO," CALLE DE GALILEO, 63",63,24,-3.7101726,-3.7101726  40.4364656,40.4364656
246, CHAMBERÍ,TRAFALGAR, CALLE DE SANTA ENGRACIA," CALLE DE SANTA ENGRACIA, 87",87,24,-3.699252,-3.699252  40.436026,40.436026
247, CHAMBERÍ,RÍOS ROSAS, CALLE DE ZURBANO," CALLE DE ZURBANO, 90",90,24,-3.692843,-3.692843  40.4383672,40.4383672
248, FUENCARRAL-EL PARDO,LA PAZ, CALLE DE SINESIO DELGADO," CALLE DE SINESIO DELGADO, 2",2,24,-3.6878414,-3.6878414  40.4743243,40.4743243
249, CHAMARTÍN,CASTILLA, PASEO DE LA CASTELLANA," PASEO DE LA CASTELLANA, 298",298,24,-3.6852959,-3.6852959  40.4794159,40.4794159
250, CHAMARTÍN,EL VISO, CALLE DE SERRANO," CALLE DE SERRANO, 113 b",113 b,24,-3.6861,-3.6861  40.4408151,40.4408151
251, CHAMARTÍN,PROSPERIDAD, CALLE DE SANTA HORTENSIA," CALLE DE SANTA HORTENSIA, 31",31,24,-3.6668532,-3.6668532  40.444183,40.444183
252, CHAMARTÍN,CASTILLA, CALLE DE RODRIGUEZ JAEN," CALLE DE RODRIGUEZ JAEN, S/N",S/N,24,-3.6839094,-3.6839094  40.4715645,40.4715645
253, CHAMARTÍN,HISPANOAMÉRICA, CALLE DEL DOCTOR FLEMING," CALLE DEL DOCTOR FLEMING, 7",7,24,-3.688443,-3.688443  40.455606,40.455606
254, CHAMARTÍN,NUEVA ESPAÑA, AVENIDA DE PIO XII," AVENIDA DE PIO XII, 3",3,24,-3.6765549,-3.6765549  40.4610436,40.4610436
255, CHAMARTÍN,NUEVA ESPAÑA, CALLE DEL GENERAL LOPEZ POZAS," CALLE DEL GENERAL LOPEZ POZAS, 2",2,24,-3.6851815,-3.6851815  40.4637286,40.4637286
256, MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA, CALLE DE BEATRIZ DE BOBADILLA," CALLE DE BEATRIZ DE BOBADILLA, 2",2,24,-3.7138353,-3.7138353  40.4463599,40.4463599
257, MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA, AVENIDA DE JUAN DE HERRERA," AVENIDA DE JUAN DE HERRERA, 1",1,24,-3.73029,-3.73029  40.438804,40.438804
258, MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA, AVENIDA COMPLUTENSE," AVENIDA COMPLUTENSE, 14",14,24,-3.7273004,-3.7273004  40.449019,40.449019
259, MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA, PLAZA DE RAMON Y CAJAL," PLAZA DE RAMON Y CAJAL, S/N",S/N,24,-3.727031,-3.727031  40.4444176,40.4444176
260, MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA, CALLE DE JOSE ANTONIO NOVAIS," CALLE DE JOSE ANTONIO NOVAIS, S/N",S/N,24,-3.7272637,-3.7272637  40.4482316,40.4482316
261, MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA, AVENIDA COMPLUTENSE," AVENIDA COMPLUTENSE, 7",7,24,-3.7292576,-3.7292576  40.4505032,40.4505032
