Tipo Contenedor;Distrito;Tipo Vía;Nombre;Número;LONGITUD;LATITUD;DIRECCION
ENVASES;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,641892;40,3884661;Calle  de San Claudio,
ENVASES;CARABANCHEL;CALLE;de Armengot;;-3,72029;40,396611;Calle  de Armengot,
ENVASES;VILLAVERDE;CALLE;La del Manojo de Rosas;;-3,697458;40,3602321;Calle  La del Manojo de Rosas,
ENVASES;PUENTE DE VALLECAS;AVENIDA;de Pablo Neruda;;-3,643122;40,389786;Avenida de Pablo Neruda,
ENVASES;CARABANCHEL;CALLE;del Arroyo Opañel;;-3,71741;40,388425;Calle  del Arroyo Opañel,
ENVASES;CARABANCHEL;CALLE;del Arroyo Opañel;;-3,718032;40,3883091;Calle  del Arroyo Opañel,
ENVASES;CARABANCHEL;CALLE;del Arroyo Opañel;;-3,721212;40,3877031;Calle  del Arroyo Opañel,
ENVASES;VILLAVERDE;CALLE;La del Manojo de Rosas;;-3,69769;40,3607651;Calle  La del Manojo de Rosas,
ENVASES;VILLAVERDE;CALLE;La del Manojo de Rosas;;-3,698834;40,354875;Calle  La del Manojo de Rosas,
ENVASES;CARABANCHEL;CALLE;Vía Lusitana;;-3,730898;40,376787;Calle  Vía Lusitana,
ENVASES;CARABANCHEL;VIA;Lusitana;;-3,720235;40,383716;Vía Lusitana,
ENVASES;VILLAVERDE;CALLE;de Albino Hernández Lázaro;;-3,70795;40,349401;Calle  de Albino Hernández Lázaro,
ENVASES;CARABANCHEL;AVENIDA;de Oporto;;-3,725868;40,3857371;Avenida de Oporto,
ENVASES;CARABANCHEL;CALLE;del Camino Viejo de Leganés;;-3,732558;40,379385;Calle  del Camino Viejo de Leganés,
ENVASES;PUENTE DE VALLECAS;CALLE;del Campo de la Paloma;;-3,645973;40,383834;Calle  del Campo de la Paloma,
ENVASES;PUENTE DE VALLECAS;CALLE;del Campo de la Paloma;;-3,645862;40,3835751;Calle  del Campo de la Paloma,
ENVASES;USERA;CALLE;de Tolosa;;-3,71337;40,373203;Calle  de Tolosa,
ENVASES;CARABANCHEL;CALLE;del Guabairo;;-3,745166;40,3874441;Calle  del Guabairo,
ENVASES;VILLAVERDE;CALLE;de la Hermandad de Donantes de Sangre;;-3,699632;40,355058;Calle  de la Hermandad de Donantes de Sangre,
ENVASES;VILLAVERDE;CALLE;de la Hermandad de Donantes de Sangre;;-3,701623;40,3534631;Calle  de la Hermandad de Donantes de Sangre,
ENVASES;PUENTE DE VALLECAS;CALLE;Carlos Martín Álvarez;;-3,663612;40,3893361;Calle  Carlos Martín Álvarez,
ORGANICA;PUENTE DE VALLECAS;AVENIDA;de Rafael Alberti;;-3,645121;40,382762;Avenida de Rafael Alberti,
ORGANICA;VILLAVERDE;AVENIDA;de los Rosales;;-3,68092;40,354505;Avenida de los Rosales,
ENVASES;VILLAVERDE;PASEO;de Gigantes y Cabezudos;;-3,693769;40,3578401;Paseo  de Gigantes y Cabezudos,
ENVASES;VILLAVERDE;PASEO;de Gigantes y Cabezudos;;-3,6938541;40,3589871;Paseo  de Gigantes y Cabezudos,
ENVASES;VILLAVERDE;PASEO;de Gigantes y Cabezudos;;-3,69393;40,360132;Paseo  de Gigantes y Cabezudos,
ORGANICA;VILLAVERDE;CALLE;Godella;;-3,688088;40,3399781;Calle  Godella,
ORGANICA;VILLAVERDE;CALLE;de la Virgen de los Desamparados;;-3,698858;40,351284;Calle  de la Virgen de los Desamparados,
ORGANICA;PUENTE DE VALLECAS;RONDA;del Sur;;-3,669251;40,372835;Ronda  del Sur,
ENVASES;VILLAVERDE;CALLE;de Orio;;-3,695791;40,3525331;Calle  de Orio,
ENVASES;USERA;;;;-3,706069;40,37928;,
ENVASES;USERA;CALLE;del Cristo de la Victoria;;-3,704735;40,3797101;Calle  del Cristo de la Victoria,
