IDENTIFICADOR,TIPO CONTENEDOR,DESCRIPCION MODELO,CANTIDAD,LOTE,DISTRITO,URI distrito,NOMBRE,NUMERO,LONGITUD,LATITUD,DIRECCION COMPLETA
"Glass/-3,7163312_40,5048864",Glass,V 2200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Carretera M-612,190,-3.7163312,40.5048864,"Carretera M-612, 190"
"Glass/-3,7163312_40,5048864",Glass,V 2200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Carretera M-612,190,-3.7163312,40.5048864,"Carretera M-612, 190"
"Organic/-3,7325671_40,495376",Organic,O 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Rascafria,1,-3.7325671,40.495376,"Calle Rascafria, 1"
"Organic/-3,7325671_40,495376",Organic,O 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Rascafria,1,-3.7325671,40.495376,"Calle Rascafria, 1"
"Organic/-3,7325671_40,495376",Organic,O 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Rascafria,1,-3.7325671,40.495376,"Calle Rascafria, 1"
"Organic/-3,697133_40,4650183",Organic,O 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Capitan blanco argibay,20,-3.697133,40.4650183,"Calle Capitan blanco argibay, 20"
"Glass/-3,697783_40,4157798",Glass,V 2200 CL,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Calle Santa catalina,4,-3.697783,40.4157798,"Calle Santa catalina, 4"
"Packaging/-3,697783_40,4157798",Packaging,Env 3200 CL,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Calle Santa catalina,4,-3.697783,40.4157798,"Calle Santa catalina, 4"
"Packaging/-3,7058634_40,4685146",Packaging,Env 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Sorgo,64,-3.7058634,40.4685146,"Calle Sorgo, 64"
"Waste/-3,7058634_40,4685146",Waste,Res 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Sorgo,64,-3.7058634,40.4685146,"Calle Sorgo, 64"
"Packaging/-3,704911_40,4618261",Packaging,Env 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Bellver,2,-3.704911,40.4618261,"Calle Bellver, 2"
"Organic/-3,7272248_40,4238681",Organic,O 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Calle San pol de mar,1,-3.7272248,40.4238681,"Calle San pol de mar, 1"
"Organic/-3,7836395_40,4584716",Organic,O 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Plaza Marques de camarines,5,-3.7836395,40.4584716,"Plaza Marques de camarines, 5"
"Waste/-3,7836395_40,4584716",Waste,Res 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Plaza Marques de camarines,5,-3.7836395,40.4584716,"Plaza Marques de camarines, 5"
"Packaging/-3,7814505_40,4579818",Packaging,Env 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Calle Berenisa,27,-3.7814505,40.4579818,"Calle Berenisa, 27"
"Organic/-3,7814505_40,4579818",Organic,O 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Calle Berenisa,27,-3.7814505,40.4579818,"Calle Berenisa, 27"
"Waste/-3,7814505_40,4579818",Waste,Res 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Calle Berenisa,27,-3.7814505,40.4579818,"Calle Berenisa, 27"
"Waste/-3,7814505_40,4579818",Waste,Res 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Calle Berenisa,27,-3.7814505,40.4579818,"Calle Berenisa, 27"
"Waste/-3,7814505_40,4579818",Waste,Res 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Calle Berenisa,27,-3.7814505,40.4579818,"Calle Berenisa, 27"
