ANIO,MES,FECHA,ID,TIPO_EDIFICIO,EDIFICIO,URI_EDIFICIO,TIPO_DE_VIA,NOMBRE_DE_LA_CALLE,VIA,NUMERO_DEL_EDIFICIO,CODIGO_POSTAL,DISTRITO,URI_DISTRITO,CODIGO_DISTRITO,BARRIO,URI_BARRIO,CODIGO_BARRIO,POBLACION,COORDENADA_X,COORDENADA_Y,TIPO,CLASE,UNIDADES,CONSUMO
2021,4,2021-04,1151,Centros culturales,CC_Mercado_de_Ibiza,Q35673000,CALLE,IBIZA,CALLE_IBIZA,8,28009,RETIRO,Retiro_(Madrid),3,IBIZA,Ibiza_(Madrid),34,Madrid,442532.4,4474380.17,Externo,Energia reactiva,kVAr,270.5
2021,4,2021-04,1227,Centros culturales,CC_Meseta_de_Orcasitas,,PLAZA,ASOCIACION,PLAZA_ASOCIACION,1,28041,USERA,Usera,12,ORCASITAS,Orcasitas,121,Madrid,439859.63,4468995.51,Externo,Energia activa,kWh,2676.7
2021,4,2021-04,1227,Centros culturales,CC_Meseta_de_Orcasitas,,PLAZA,ASOCIACION,PLAZA_ASOCIACION,1,28041,USERA,Usera,12,ORCASITAS,Orcasitas,121,Madrid,439859.63,4468995.51,Externo,Energia reactiva,kVAr,30.5
2021,4,2021-04,1227,Centros culturales,CC_Meseta_de_Orcasitas,,PLAZA,ASOCIACION,PLAZA_ASOCIACION,1,28041,USERA,Usera,12,ORCASITAS,Orcasitas,121,Madrid,439859.63,4468995.51,Externo,Gas,m3/h,327.2
2021,4,2021-04,389,Centros culturales y bibliotecas,"CC_Nicolas_Salmeron_(CC,_EM_Maria_Rodrigo_y_Bib._Fco._Ibaniez)",,CALLE,MANTUANO,CALLE_MANTUANO,51,28002,CHAMARTIN,Chamartín_(Madrid),5,CIUDAD_JARDIN,Ciudad_Jardín_(Madrid),53,Madrid,442658.2,4477714.06,Externo,Gas,m3/h,0
2021,4,2021-04,226,Centros culturales,CC_Rafael_Altamira,,CALLE,ENRIQUE D'ALMONTE,CALLE_ENRIQUE_D'ALMONTE,1,28028,SALAMANCA,Salamanca_(Madrid),4,FUENTE_DEL_BERRO,Fuente_del_Berro,43,Madrid,443752.29,4474857.9,Externo,Energia activa,kWh,5215.1
2021,4,2021-04,226,Centros culturales,CC_Rafael_Altamira,,CALLE,ENRIQUE D'ALMONTE,CALLE_ENRIQUE_D'ALMONTE,1,28028,SALAMANCA,Salamanca_(Madrid),4,FUENTE_DEL_BERRO,Fuente_del_Berro,43,Madrid,443752.29,4474857.9,Externo,Energia reactiva,kVAr,653.1
2021,4,2021-04,226,Centros culturales,CC_Rafael_Altamira,,CALLE,ENRIQUE D'ALMONTE,CALLE_ENRIQUE_D'ALMONTE,1,28028,SALAMANCA,Salamanca_(Madrid),4,FUENTE_DEL_BERRO,Fuente_del_Berro,43,Madrid,443752.29,4474857.9,Externo,Gas,m3/h,0
2021,4,2021-04,267,Centros culturales,CC_Santa_Petronila,,CALLE,MARIA MARTINEZ OVIOL,CALLE_MARIA_MARTINEZ_OVIOL,12,28021,VILLAVERDE,Villaverde_(Madrid),17,LOS_ROSALES,Los_Rosales_(Madrid),174,Madrid,441283.64,4466931.82,Externo,Energia activa,kWh,15416
2021,4,2021-04,267,Centros culturales,CC_Santa_Petronila,,CALLE,MARIA MARTINEZ OVIOL,CALLE_MARIA_MARTINEZ_OVIOL,12,28021,VILLAVERDE,Villaverde_(Madrid),17,LOS_ROSALES,Los_Rosales_(Madrid),174,Madrid,441283.64,4466931.82,Externo,Energia reactiva,kVAr,1557
