AÑO;MES;ID;TIPOEDIFICIO;EDIFICIO;DIRECCION;DISTRITO;CÓDIGO DISTRITO;BARRIO;CÓDIGO BARRIO;COORDENADA-X;COORDENADA-Y;LONGITUD;LATITUD;SENSOR;TIPO;CLASE;GRUPO;UNIDADES;CONSUMO
2021;2;;Centros deportivos;CDM María Jesús Rosa;AVENIDA  MONFORTE DE LEMOS,  38  28029  MADRID;FUENCARRAL - EL PARDO;8;EL PILAR;84;438096,2;4482093,07;-3.7089994931940193;40.47902750223984;AMCDMMJESUSROSA_Gas_General;Externo;Gas;Ninguno;m3;0
2021;2;1114;Centros deportivos;CDM Plata y Castañar;PASEO PLATA Y CASTAÑAR, 7 28021 MADRID;VILLAVERDE;17;VILLAVERDE ALTO;171;439027,11;4466911,16;-3.7170958691991935;40.35076438371904;AMCDMPLATYCAST_Gas_Piscina;Externo;Gas;Gas;m3;12481
2021;2;1941;Centros deportivos;CDM Playa Victoria;CALLE HIERBABUENA, 2 28039 MADRID;TETUÁN;6;BERRUGUETE;66;440472,29;4478976,84;-3.7016309815462454;40.459185470607935;AMCDMPVICTORIA_Gas_General;Externo;Gas;Ninguno;m3;NO DATA
2021;2;1889;Centros deportivos;CDM Pueblo Nuevo;CALLE FRANCISCO RIOJA, 14 28017 MADRID;CIUDAD LINEAL;15;PUEBLO NUEVO;152;445839,4;4475685,17;-3.6380132760089876;40.43014181400333;AMCDMPUEBLONUEVO_Gas_general;Externo;Gas;Ninguno;m3;6846,5
2021;2;1541;Centros deportivos;CDM Samaranch;PASEO IMPERIAL, 20 28005 MADRID;ARGANZUELA;2;IMPERIAL;21;439121,92;4473233,91;-3.7174746394157;40.4074954036895;AMCDMSAMARANCH_Gas;Externo;Gas;Gas;m3;NO DATA
2021;2;1945;Centros deportivos;CDM San Juan Bautista;CALLE TREVIANA, 1 28043 MADRID;CIUDAD LINEAL;15;SAN JUAN BAUTISTA;156;444142,91;4477729,93;-3.657745672316187;40.44796198220766;AMCDMSANJUANBAUTISTA_Gas_Piscina;Externo;Gas;Ninguno;m3;6353,1
2021;2;1656;Centros deportivos;CDM Wilfred Agbonavbare - Alberto García;CALLE REGUERA DE TOMATEROS, 39B, 28053 MADRID;PUENTE DE VALLECAS;13;ENTREVÍAS;131;444236,45;4469239,87;-3.6560976103843;40.37204305783915;AMCDMALBERTOG_Gas_Piscina_Pabellon;Externo;Gas;Ninguno;m3;9527,1
2021;2;658;Centros escolares;CEIP Bolivia;CALLE VILLAVALIENTE, 29 28011 MADRID;LATINA;10;LUCERO;103;436373,24;4473268,33;-3.7500195164933143;40.40760080843823;AMCEIPBOLIVIA_Gas_General;Externo;Gas;Gas;m3;360
2021;2;49;Centros escolares;CEIP Claudio Moyano;CALLE CEA BERMUDEZ, 26 28003 MADRID;CHAMBERÍ;7;VALLEHERMOSO;76;439884,49;4476723,65;-3.708257053283696;40.439115564429116;AMCPCMOYANO_Gas;Externo;Gas;Gas;m3;3285,3
2021;2;278;Centros escolares;CEIP Concepción Arenal;CALLE ANTONIO LOPEZ, 1 28019 MADRID;CARABANCHEL;11;COMILLAS;111;439319,32;4472127,86;-3.7110683133563716;40.39824381077428;AMCPCONARENAL_Gas;Externo;Gas;Gas;m3;6595,3
2021;2;582;Centros escolares;CEIP Isaac Peral;GLORIETA RUFINO NOVALVOS, 5 28025 MADRID;CARABANCHEL;11;PUERTA BONITA;115;437967,83;4470923,83;-3.729999509109673;40.38645824863816;AMCEIPISAACPERAL_Gas_General;Externo;Gas;Gas;m3;4472,9
2021;2;1028;Centros escolares;CEIP Madroño;CALLE LAS MARISMAS, 14 28038 MADRID;PUENTE DE VALLECAS;13;NUMANCIA;136;444386,73;4472608,31;-3.6547868183395873;40.402312403210814;AMCPMADRONO_Gas;Externo;Gas;Gas;m3;3326
2021;2;116;Centros escolares;CEIP Ntra Sra de la Paloma;CALLE TABERNILLAS, 2 28005 MADRID;CENTRO;1;PALACIO;11;439642,7;4473629,39;-3.7106372993064745;40.411427160112815;AMCPPALOMA_Gas;Externo;Gas;Gas;m3;4473,7
2021;2;167;Centros escolares;CEIP Ntra Sra Fuencisla;CALLE TOMELLOSO, 39 28026 MADRID;USERA;12;ALMENDRALES;124;440745,01;4470201,39;-3.6972821974614196;40.380523117574946;AMCPFUENCISLA_Gas_General;Externo;Gas;Ninguno;m3;2153,9
2021;2;209;Centros escolares;CEIP Pi i Margall;PLAZA DOS DE MAYO, 2 28004 MADRID;CENTRO;1;UNIVERSIDAD;15;440230,55;4475371,56;-3.7046107649803;40.4268327144929;CEIPPiiMargall_Gas;Externo;Gas;Gas;m3;2707,3
2021;2;304;Centros escolares;CEIP Pradolongo;CALLE PARQUE DE LA PALOMA, 9 28026 MADRID;USERA;12;ZOFÍO;126;439235,73;4470063,37;-3.7158207588239685;40.379271000451105;AMCPPRADOLONGO_Gas_General;Externo;Gas;Ninguno;m3;NO DATA
2021;2;108;Centros escolares;CEIP Puerto Rico;CALLE SEGURA, 74 28041 MADRID;USERA;12;ORCASITAS;121;438955,61;4468897,52;-3.718516174164925;40.36857243836856;AMCPPRICO_Gas_General;Externo;Gas;Ninguno;m3;2597,8
2021;2;247;Centros escolares;CEIP Residencia San Ildefonso;CALLE ALFONSO VI, 1 28005 MADRID;CENTRO;1;PALACIO;11;439580,6;4473834,01;-3.71212631464;40.4129348523462;ResidenciaSanildefonso_Gas;Externo;Gas;Gas;m3;7997,5
2021;2;177;Centros escolares;CEIP Vázquez de Mella;CALLE BAILEN, 18 28005 MADRID;CENTRO;1;PALACIO;11;439417,82;4473742,83;-3.7140360474586;40.4121016245246;CEIPVazquezmella_Gas;Externo;Gas;Gas;m3;193,7
2021;2;1033;Centros culturales y bibliotecas;Centro de Mayores San Francisco;CALLE JERTE, 3 (ENTRADA POR CALLE SAN BUENAVENTURA, 3) 28005 MADRID;CENTRO;1;PALACIO;11;439335,92;4473634,38;-3.714990913868;40.4111186882429;CentromayoresSanfrancisco_Gas;Externo;Gas;Gas;m3;0
2021;2;772;Centros administrativos;JMD Centro;CALLE MAYOR, 72 28013 MADRID;CENTRO;1;PALACIO;11;439700,82;4474124,14;-3.7107369303703;40.4155572059031;JuntaDistritoCentroAzotea_Gas;Externo;Gas;Gas;m3;3327,6
2021;2;1987;Centros deportivos;Pabellón Jesús Rollán;CALLE AVENA, 11 28026 MADRID;USERA;12;ZOFÍO;126;439280,11;4469746,13;-3.7152779102325;40.3760873422678;AMPJESUSROLLAN_Gas;Externo;Gas;Gas;m3;17916
2021;3;2178;Centros culturales y bibliotecas;Biblioteca Ángel González;CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID;LATINA;10;ALUCHE;104;434962,85;4472100,21;-3.7663713097572;40.3969681670062;AMBIBAGONZALEZ_Gas_General;Externo;Gas;Gas;m3;0
2021;3;2096;Centros culturales y bibliotecas;Biblioteca Eugenio Trías;PASEO FERNAN NUÑEZ, 24 28009 MADRID;RETIRO;3;JERÓNIMOS;35;442401,74;4474247,41;-3.6796432754374946;40.41678861549688;AMBIBETRIAS_Gas_General;Externo;Gas;Gas;m3;2178,4
2021;3;1208;Centros culturales y bibliotecas;Biblioteca Gerardo Diego;CALLE MONTE AYA, 12 28031 MADRID;VILLA DE VALLECAS;18;CASCO HISTÓRICO DE VALLECAS;181;447143,05;4469885,64;-3.6226612333620114;40.378016410030774;AMBIBGDIEGO_Gas_General;Externo;Gas;Gas;m3;2720,8
2021;3;1526;Centros culturales y bibliotecas;Biblioteca José Hierro;CALLE MARIA SEVILLA DIAGO, 15 28022 MADRID;SAN BLAS - CANILLEJAS;20;ROSAS;205;448214,3;4476029,82;-3.610550602425999;40.433453540244685;AMBIBJHIERRO_Gas_General;Externo;Gas;Gas;m3;5,6
