Número,Código Ayto,Centro,Calle,Portal nº,Latitud,Longitud,Uso del edificio,Distrito,Distrito URI from dbpedia,Ciudad,Ciudad URI from wikidata,Potencia KWp,Empresa instaladora,Puesta en servicio
47,895.0,CC FEDERICO CHUECA,C/ BENITA ÁVILA,17.0,40.46498334634,-3.65056826658469,cultural,Hortaleza,http://dbpedia.org/resource/Hortaleza,Madrid,https://www.wikidata.org/wiki/Q2807,20.0,DRAGADOS,2018-11-18T18:00:00Z
48,547.0,JMD LATINA,AV/ LAS AGUILAS,2.0,40.3838571804374,-3.76530195937242,administrativo,Latina,http://dbpedia.org/resource/Latina,Madrid,https://www.wikidata.org/wiki/Q2807,27.0,AURA,2018-11-21T18:00:00Z
49,2148.0,CDM LAS CRUCES,AV/ POBLADOS,0.0,40.3791489373773,-3.75655476241196,deportivo,Latina,http://dbpedia.org/resource/Latina,Madrid,https://www.wikidata.org/wiki/Q2807,17.0,FERROVIAL,2019-08-01T14:00:00Z
50,2299.0,CENTRO DE DÍA GERTRUDIS DE LA FUENTE,C/ ALHAMBRA / C/ CUÑA LATINA DOS,2.0,40.3992228218455,-3.74165624171805,social,Latina,http://dbpedia.org/resource/Latina,Madrid,https://www.wikidata.org/wiki/Q2807,50.0,AURA,2019-05-24T14:00:00Z
51,2260.0,CENTRO DE ACOGIDA MUNICIPAL PUERTA ABIERTA,C/ PINAR DE SAN JOSE ,104.0,40.3636232165702,-3.77604986037844,social,Latina,http://dbpedia.org/resource/Latina,Madrid,https://www.wikidata.org/wiki/Q2807,12.0,DESCONOCIDO,2016-08-07T14:00:00Z
52,1140.0,CDM GALLUR,C/ GALLUR,2.0,40.398465832065,-3.73538345068692,deportivo,Latina,http://dbpedia.org/resource/Latina,Madrid,https://www.wikidata.org/wiki/Q2807,20.0,AURA,2020-02-18T18:00:00Z
53,2447.0,EI BOLA DE CRISTAL (VALDEZARZA),C/ ISLAS BISAGOS,13.0,40.467857,-3.715308,educativo,Moncloa-Aravaca,http://dbpedia.org/resource/Category:Moncloa-Aravaca,Madrid,https://www.wikidata.org/wiki/Q2807,6.0,CYOPSA,2018-06-11T14:00:00Z
54,1931.0,IDM LA BOMBILLA,Paseo Senda del Rey,8.0,40.436623,-3.733391,deportivo,Moncloa-Aravaca,http://dbpedia.org/resource/Category:Moncloa-Aravaca,Madrid,https://www.wikidata.org/wiki/Q2807,12.0,ORTIZ,2019-01-22T18:00:00Z
55,1272.0,CC EDUARDO CHILLIDA Y BIBLIOTECA MIGUEL DELIBES,C/ ARROYO BELINCOSO,9.0,40.4093917367651,-3.65321477735933,cultural,Moratalaz,http://dbpedia.org/resource/Category:Moratalaz,Madrid,https://www.wikidata.org/wiki/Q2807,10.0,PECSA,2018-10-23T14:00:00Z
56,2138.0,CMM/CSS LADERA EL ALMENDRO,C/ LADERA DE LOS ALMENDROS,4.0,40.4021030238157,-3.62391894122114,social,Moratalaz,http://dbpedia.org/resource/Category:Moratalaz,Madrid,https://www.wikidata.org/wiki/Q2807,12.5,PECSA,2018-10-23T14:00:00Z
